#,"Referring Domain1","Domain Rating (desc)1","Ahrefs Rank","Total Backlinks","Backlinks for Referring Domain (Percent %)","Dofollow Backlinks","Dofollow Backlinks for Referring Domain (Percent %)","First Seen","Referring domains","Linked Domains","Organic Traffic"
255,ezforex.us,1,69077189,14,0,14,0.01,"2023-03-19 05:28:48",117,262,0
256,forex-comex-equity-signals.blogspot.com,0,69937454,459,0.14,459,0.19,"2019-03-12 05:03:50",5,24,0
257,discount-forex.com,0,71700931,1,0,0,0,"2022-07-30 13:48:46",322,19,0
258,myguide2forex.com,0,71877260,1,0,0,0,"2023-03-14 16:00:08",2,19,0
259,inspireforex.co.uk,0,70216084,5,0,0,0,"2019-04-20 14:21:19",120,12,0
260,tradingforexguide.com,0,73300605,1,0,0,0,"2021-04-16 16:23:25","2,646",2,26
261,forexbussinestech.info,0,73457328,94,0.03,94,0.04,"2020-12-18 11:04:19",883,144,0
262,aboutforexdubai.blogspot.com,0,75134721,46,0.01,46,0.02,"2019-03-19 05:22:22",8,11,0
263,brokerforexlokalterbaik.blogspot.com,0,76559873,21,0.01,0,0,"2021-04-25 08:57:11",30,41,0
264,instaforex-word.blogspot.com,0,75544996,1,0,1,0,"2023-03-13 20:23:31",22,75,0
265,thaiforexroom.blogspot.com,0,74766291,124,0.04,124,0.05,"2019-03-30 13:19:50",17,50,0
266,tomforexcar.blogspot.com,0,74588428,3,0,3,0,"2021-12-02 04:30:10",6,33,1416
267,xmforexofficemalaysia.blogspot.com,0,74734533,7,0,7,0,"2021-06-15 08:55:30",3,10,15
268,forextradingsystemcentral.com,0,74450098,1,0,0,0,"2017-03-27 20:30:16",28,12,0.02
269,justforexrebate.com,0,75773409,1,0,0,0,"2021-11-18 16:16:12",11,446,0.15
270,belforex.be,0,79489900,9,0,8,0,"2022-09-06 21:14:51",2,0,306
271,dola4u-forex.blogspot.com,0,79278945,1461,0.46,1461,0.59,"2018-04-03 21:27:52",2,85,0
272,dubaiforexrates.blogspot.com,0,76994624,51,0.02,51,0.02,"2019-03-18 16:58:28",5,18,0
273,forex-surabaya.blogspot.com,0,77423247,18,0.01,18,0.01,"2020-12-05 04:28:26",2,13,2.8
274,forexnadzis.blogspot.com,0,78447009,19,0.01,19,0.01,"2019-03-30 06:22:56",3,9,0
275,forexsignals777traders.blogspot.com,0,77510623,23,0.01,23,0.01,"2019-04-01 19:35:57",1,7,0
276,theforexpage.blogspot.com,0,79474070,1,0,1,0,"2020-05-12 03:47:03",147,"3,154",0
277,forexbestshop.com,0,78121081,1099,0.35,1099,0.45,"2021-09-30 07:26:46",10,75,136
278,forexsmart.id,0,77031101,5,0,0,0,"2022-01-10 15:58:52",1,9,0
279,sekolahtradingforex.id,0,78116543,2,0,0,0,"2020-10-21 06:12:57",1,0,0.04
280,sbnforex.n.nu,0,77639609,4,0,2,0,"2021-09-30 08:15:06",1,6,0
281,aprenderforexonline.blogspot.com,0,83681769,19,0.01,19,0.01,"2022-04-14 13:10:02",2,17,0
282,bsmartforextradingtipsnigeria.blogspot.com,0,81720070,2,0,2,0,"2021-07-23 07:48:57",4,25,0.01
283,cafeforexvn.blogspot.com,0,85125190,7,0,7,0,"2023-01-28 22:11:23",7,12,0
284,corretorforex.blogspot.com,0,82733062,332,0.10,332,0.14,"2016-07-28 21:04:18",3,16,0
285,forexbrics.blogspot.com,0,82963507,463,0.15,463,0.19,"2020-03-13 15:39:01",2,26,0
286,forexjust.blogspot.com,0,82036585,21,0.01,2,0,"2018-04-19 08:00:39",11,144,0
287,forextipsproviders.blogspot.com,0,83917041,31,0.01,31,0.01,"2022-04-27 23:22:04",7,11,0
288,forextradersinthailand.blogspot.com,0,81080324,248,0.08,248,0.10,"2019-03-07 06:21:26",4,6,0
289,riodasostrasforexpats.blogspot.com,0,82669354,336,0.11,336,0.14,"2019-01-18 22:22:08",3,90,0
290,statementofforex.blogspot.com,0,82030133,42,0.01,42,0.02,"2022-01-10 17:53:14",246,"1,249",2.0
291,vidayforex.blogspot.com,0,81074236,5,0,5,0,"2022-02-11 04:40:42",4,6,0.01
292,wforex1.blogspot.com,0,80610376,1,0,1,0,"2019-04-21 15:48:45",2,0,0
293,forexmcnstrategy.com,0,82009600,1,0,0,0,"2022-07-19 00:33:47",213,12,0
294,mkbforex.com,0,83898405,1,0,0,0,"2022-08-01 19:03:54",8,122,0.01
295,forexparatodos.eu.org,0,82245228,675,0.21,675,0.27,"2021-02-03 19:13:04",11,102,0
296,forexexclusives.blogspot.com,0,87302643,2,0,2,0,"2021-09-28 15:39:03",198,18,0
297,forexinvestmentinmalaysia.blogspot.com,0,85577816,9,0,6,0,"2021-05-04 19:43:00",10,684,21
298,forextradinginvietnam.blogspot.com,0,88442172,159,0.05,159,0.06,"2019-01-02 13:04:55",1,6,0
299,forextrendinvest.blogspot.com,0,88158423,3,0,3,0,"2021-05-07 17:42:27",4,49,0
300,iceforex.com,0,87300570,1,0,0,0,"2021-09-13 05:26:36",2,12,0
301,insuranceforexpat.es,0,85438023,58,0.02,0,0,"2020-08-05 07:02:37",15,5,9
302,primeforex.co.in,0,85741280,68,0.02,0,0,"2020-02-26 09:04:56",21,7,25
303,forexbusiness.in,0,88688216,1,0,0,0,"2021-03-11 08:18:54",181,11,0.26
304,forexa.net,0,86726801,2,0,2,0,"2021-01-06 17:50:22",8,0,0
305,blogforextrendyreviews.blogspot.com,0,92718022,2,0,2,0,"2023-03-18 13:14:45",12,0,0
306,forexpasha.blogspot.com,0,90101945,124,0.04,124,0.05,"2020-04-29 09:46:54",15,13,2.8
307,volumeofforexidea.blogspot.com,0,93329697,8,0,8,0,"2022-05-12 00:32:05",124,"1,304",0
308,webforextrendyreview.blogspot.com,0,91672881,1,0,1,0,"2023-03-22 10:45:18",14,0,0
309,webforextrendyreviews.blogspot.com,0,92106277,1,0,1,0,"2023-03-22 07:37:15",13,0,0
310,tfl-forex.com,0,93558669,1400,0.44,1400,0.57,"2022-05-27 12:59:45",6,26,0
311,dautuforexhieuquahcm.blogspot.com,0,96023354,20,0.01,20,0.01,"2019-03-30 16:10:25",1,13,0
312,dominiclongpreforex.blogspot.com,0,97524486,40,0.01,40,0.02,"2019-03-09 11:54:37",3,9,0
313,forex16888.blogspot.com,0,99555056,18,0.01,18,0.01,"2021-01-03 10:43:41",1,11,0
314,forexanalysisdaily.blogspot.com,0,98857661,10,0,10,0,"2019-04-21 17:33:34",14,"2,436",0
315,realbestforexbroker1.blogspot.com,0,96062714,3,0,3,0,"2022-05-16 18:41:00",22,20,0
316,forexjames.com,0,99257994,1,0,0,0,"2022-10-07 14:22:11",9,16,1.2
317,forextradingreview.com,0,96919034,1,0,0,0,"2022-07-18 04:36:07",5,154,0.70
318,jaysforexalgo.com,0,96402642,1,0,0,0,"2022-12-01 03:55:15",2,8,0
319,toptierforex.com,0,96713021,6,0,6,0,"2022-01-07 13:42:25",1,13,0
320,forextrades4u.co.uk,0,97196446,60,0.02,60,0.02,"2019-03-06 07:18:02",1,4,0
321,best-forex-broker.com,0,103559843,3,0,0,0,"2020-05-20 16:56:49",83,3,0
322,billionmilestoneforexgroup.com,0,101834446,1,0,0,0,"2020-03-06 09:48:27",1,5,0
323,aboutforex-india.blogspot.com,0,106199722,135,0.04,135,0.05,"2019-02-24 19:46:46",6,23,0
324,analitika-forex.blogspot.com,0,102928251,2,0,2,0,"2023-02-05 08:02:15",1,10,0
325,bests-forex-trading-softwares.blogspot.com,0,107932953,63,0.02,63,0.03,"2019-03-19 13:17:50",18,72,0
326,etoroforexhandelsplattform.blogspot.com,0,109768319,2,0,2,0,"2023-03-04 11:09:38",4,21,0
327,forexandfunzone.blogspot.com,0,102927979,3,0,3,0,"2021-02-11 07:09:30",1,14,0.02
328,forexbdtutor.blogspot.com,0,101945485,10,0,10,0,"2019-03-24 13:17:32",1,9,0
329,forexsystemdownload.blogspot.com,0,107350787,1,0,1,0,"2022-11-21 10:53:37",21,"4,033",10
330,forextrading-thai.blogspot.com,0,106582814,57,0.02,57,0.02,"2019-03-14 19:32:37",3,27,0
331,kursus-forex-di-bandung.blogspot.com,0,106101715,33,0.01,33,0.01,"2019-03-12 16:59:19",1,48,0
332,liteforextrading.blogspot.com,0,107273859,4,0,4,0,"2022-08-05 07:43:38",7,49,0
333,mercadoglobalforex.blogspot.com,0,111179440,3,0,3,0,"2022-07-30 07:30:09",6,9,0
334,roboforexbrasil.blogspot.com,0,103938877,2256,0.71,2256,0.92,"2019-02-19 10:34:34",20,75,0
335,roboforexportugal.blogspot.com,0,107687670,492,0.16,492,0.20,"2017-04-21 18:06:39",14,68,0
336,dawintaforex.com,0,106702391,2,0,0,0,"2022-09-18 02:04:52",2,789,0.01
337,forexlatestnews.com,0,106057471,2,0,0,0,"2023-02-07 04:04:07",4,18,0
338,forexmoneytransfer.com,0,110220638,1,0,0,0,"2023-02-14 14:33:20",3,4,0
339,forextiming.com,0,111186876,2,0,0,0,"2021-05-29 05:57:59",6,74,0
340,freedomforexacademy.com,0,108356339,1,0,0,0,"2020-11-18 11:14:06",1,0,0
341,gkmforex87.com,0,111456809,1,0,0,0,"2022-04-19 21:08:18",2,9,0
342,globalforextradings.com,0,110458756,2,0,0,0,"2022-09-24 14:06:57",4,0,0
343,sapphireforex.com,0,106724816,1,0,0,0,"2022-11-24 08:54:19",4,1,0
344,thedailyforexpress.com,0,104052829,97,0.03,94,0.04,"2021-12-21 23:53:01",454,"4,241",0
345,boomcrashforexacademy.one,0,102382169,1,0,0,0,"2022-05-23 00:41:57",4,105,0
346,tpforex.vn,0,107967154,39,0.01,39,0.02,"2021-09-19 18:48:33",1,27,32
347,dayandnightforex.co.za,0,111114233,1,0,0,0,"2023-03-16 16:51:21",3,13,37
348,dailyforex.ae,0,140192849,9,0,0,0,"2019-04-20 11:49:48",5,0,0
349,forextrade.ae,0,205318204,1,0,0,0,"2023-03-13 10:20:26",1,0,0
350,msforex.com.au,0,-,1,0,0,0,"2022-01-07 16:20:36",0,0,0
351,bestforex.net.au,0,140304810,1,0,0,0,"2023-03-04 20:35:08",8,8,176
352,ctitanforex.cf,0,-,1300,0.41,1300,0.53,"2022-06-16 21:09:49",0,0,0
353,easyforexlearn.cf,0,-,1,0,1,0,"2021-04-04 14:59:10",0,0,0
354,globalforex.ch,0,162246895,12,0,6,0,"2021-03-19 17:10:59",3,5,0
355,forexperience.club,0,-,1,0,0,0,"2021-04-05 22:48:43",0,0,0
356,forexring.club,0,-,4,0,0,0,"2020-11-20 08:07:27",0,0,0
357,simpleforex.club,0,-,1,0,0,0,"2022-01-08 18:48:25",0,0,0
358,forexempire.co,0,-,1,0,1,0,"2022-07-23 09:19:16",0,0,0
359,247forextrader.com,0,-,2,0,0,0,"2022-12-18 01:31:54",0,0,0
360,24forexminings.com,0,-,4,0,4,0,"2022-12-26 12:09:48",0,0,0
361,abedisforex.com,0,-,1,0,0,0,"2023-02-12 10:33:10",0,0,0
362,abhinandanforex.com,0,-,1,0,0,0,"2023-03-17 08:35:33",0,0,0
363,addictionhelpforexecs.com,0,-,1,0,0,0,"2020-05-23 23:01:27",0,0,0
364,banglaforexschool.com,0,128715314,1,0,0,0,"2023-03-05 00:34:04",5,0,0
365,batelforexport.com,0,-,5,0,0,0,"2022-12-27 04:59:19",0,0,0
366,belajarforexdibali.com,0,194189556,3,0,3,0,"2021-09-30 15:54:08",1,11,0
367,bellaforex.com,0,-,1,0,0,0,"2022-01-07 18:03:29",0,0,0
368,bellforexcryptolearn.com,0,-,1,0,0,0,"2022-11-14 00:41:54",0,0,0
369,bengalforex.com,0,-,2,0,0,0,"2022-02-16 09:12:08",0,0,0
370,bennydcforex.com,0,-,1,0,0,0,"2023-02-28 15:08:42",0,0,0
371,bestforexcapital.com,0,137419678,1,0,1,0,"2021-10-11 13:32:29",1,4,0
372,bharatforextrading.com,0,-,1,0,0,0,"2023-03-04 00:09:42",0,0,0
373,blackholeforex.com,0,-,2,0,0,0,"2022-02-01 16:37:34",0,0,0
374,blockforextrade24hrs.com,0,-,2,0,0,0,"2022-03-26 05:31:32",0,0,0
375,blogforexviet.com,0,-,52,0.02,52,0.02,"2021-04-15 09:23:53",0,0,0
376,1forexxx.blogspot.com,0,-,3,0,3,0,"2023-03-04 21:27:35",0,0,0
377,1minuteinoutforex.blogspot.com,0,-,48,0.02,48,0.02,"2021-04-20 15:11:59",0,0,0
378,24forexsingal.blogspot.com,0,-,163,0.05,163,0.07,"2019-04-04 21:35:01",0,0,0
379,aboutaforexquote.blogspot.com,0,-,8,0,8,0,"2022-04-28 08:32:08",0,0,0
380,academiaforex.blogspot.com,0,-,5,0,5,0,"2021-04-17 23:23:21",0,0,0
381,academy-forexgen.blogspot.com,0,-,6,0,6,0,"2019-03-27 03:10:42",0,0,0
382,accurateforexsignalprovider.blogspot.com,0,-,6,0,6,0,"2020-06-15 08:29:36",0,0,0
383,acforex.blogspot.com,0,-,6,0,6,0,"2022-01-24 04:17:08",0,0,0
384,adcoderegistrationforexportandimport.blogspot.com,0,-,31,0.01,31,0.01,"2021-07-31 14:09:00",0,0,0
385,admanforex.blogspot.com,0,-,3,0,3,0,"2023-03-19 01:05:37",0,0,0
386,admiralmarkets-forex.blogspot.com,0,-,10,0,10,0,"2019-04-04 19:06:06",0,0,0
387,ageatraderforex-onweb.blogspot.com,0,-,75,0.02,75,0.03,"2019-03-03 04:48:09",0,0,0
388,agenforexaslimalang.blogspot.com,0,-,3,0,3,0,"2022-02-10 08:06:23",0,0,0
389,ahli-forex.blogspot.com,0,-,2,0,2,0,"2021-10-10 12:12:26",0,0,0
390,allaboutforexbusiness.blogspot.com,0,-,2,0,2,0,"2021-05-30 13:49:09",0,0,0
391,analisaforextehnikal.blogspot.com,0,-,1,0,1,0,"2023-03-13 05:54:56",0,0,0
392,analisaharianforex.blogspot.com,0,-,19,0.01,19,0.01,"2021-01-31 20:49:00",0,0,0
393,analisetecnicaforex.blogspot.com,0,133094063,695,0.22,695,0.28,"2016-04-24 19:33:14",8,29,0
394,anti-roboforex.blogspot.com,0,114551804,6,0,6,0,"2021-12-20 01:50:57",8,36,0
395,anti-roboforex-china.blogspot.com,0,126490865,17,0.01,17,0.01,"2022-06-10 22:54:22",5,36,0
396,anti-roboforex-germany.blogspot.com,0,126505875,7,0,7,0,"2019-04-05 22:49:27",6,33,0
397,anti-roboforex-indonesia.blogspot.com,0,119980549,8,0,8,0,"2019-03-02 18:00:58",8,6,0
398,anti-roboforex-lithuania.blogspot.com,0,126193271,6,0,6,0,"2020-07-18 11:25:29",6,0,0
399,aprenda-forex.blogspot.com,0,-,12,0,12,0,"2022-04-26 08:08:57",0,0,0
400,aprendetodosobreforex.blogspot.com,0,117682170,4,0,4,0,"2020-03-04 09:24:38",2,28,0
401,asianforextrade.blogspot.com,0,-,3,0,3,0,"2022-08-27 22:59:49",0,0,0
402,aulasdeforex.blogspot.com,0,-,960,0.30,960,0.39,"2016-06-29 11:09:08",0,0,0
403,autoforextrading.blogspot.com,0,-,20,0.01,20,0.01,"2021-06-12 16:39:23",0,0,0
404,autopilotforexrobot.blogspot.com,0,-,16,0.01,16,0.01,"2021-07-07 07:44:29",0,0,0
405,autosultanforex.blogspot.com,0,142613509,14,0,14,0.01,"2022-05-21 14:48:24",1,9,0
406,autosultangforex.blogspot.com,0,142613705,70,0.02,70,0.03,"2022-03-18 15:31:54",1,10,0
407,avfxforexbroker.blogspot.com,0,154672963,20,0.01,20,0.01,"2020-10-16 02:30:48",1,6,0
408,bangladeshforexhelpcenter.blogspot.com,0,-,7,0,7,0,"2021-05-28 20:12:21",0,0,0
409,bbmforex.blogspot.com,0,-,19,0.01,19,0.01,"2020-06-12 17:14:07",0,0,0
410,belajarforexdimedan.blogspot.com,0,-,5,0,5,0,"2019-04-21 11:16:24",0,0,0
411,belajarforexjarakjauh.blogspot.com,0,-,1,0,1,0,"2023-02-07 20:40:35",0,0,0
412,belajarforexmandiri.blogspot.com,0,-,14,0,14,0.01,"2019-02-21 13:54:56",0,0,0
413,belajartutorialforex.blogspot.com,0,-,1,0,1,0,"2023-03-07 16:21:58",0,0,0
414,berbagiforex.blogspot.com,0,-,20,0.01,20,0.01,"2021-03-01 02:01:39",0,0,0
415,beritaforexhariinii.blogspot.com,0,-,16,0.01,16,0.01,"2019-03-24 16:41:43",0,0,0
416,best-forex-robots-2012.blogspot.com,0,-,10,0,10,0,"2021-07-08 03:26:09",0,0,0
417,best-forexindicators.blogspot.com,0,-,17,0.01,17,0.01,"2019-04-05 05:48:12",0,0,0
418,bestexpertinterviewsforextratraffic.blogspot.com,0,-,20,0.01,20,0.01,"2021-05-28 10:48:12",0,0,0
419,bestforexforecaster.blogspot.com,0,-,19,0.01,19,0.01,"2021-02-17 20:48:05",0,0,0
420,bestforexindicator2013.blogspot.com,0,-,96,0.03,96,0.04,"2020-11-12 19:13:57",0,0,0
421,bestforexsignaladvicesprovider.blogspot.com,0,-,13,0,13,0.01,"2021-06-25 05:32:13",0,0,0
422,bestforexsignals247.blogspot.com,0,-,25,0.01,25,0.01,"2021-04-27 13:48:15",0,0,0
423,bestonlineforexbroker-enclavefx.blogspot.com,0,-,34,0.01,34,0.01,"2022-07-06 21:25:17",0,0,0
424,binarymarketforex.blogspot.com,0,-,1,0,1,0,"2023-03-22 00:58:08",0,0,0
425,bitcoinforexx.blogspot.com,0,-,2,0,2,0,"2023-03-15 04:01:50",0,0,0
426,blajarforextrading.blogspot.com,0,154735727,7,0,7,0,"2022-02-02 22:51:13",1,14,0
427,bluemajicforex.blogspot.com,0,-,29,0.01,29,0.01,"2022-01-02 20:54:28",0,0,0
428,bluemaxforextrade.blogspot.com,0,-,3,0,3,0,"2022-05-26 21:58:58",0,0,0
429,borsaforexegitimi.blogspot.com,0,-,1,0,0,0,"2023-03-11 07:37:51",0,0,0
430,broker-forex-indonesia.blogspot.com,0,-,8,0,8,0,"2021-11-12 06:43:43",0,0,0
431,bukuforexindonesia.blogspot.com,0,-,10,0,10,0,"2020-07-18 11:34:28",0,0,0
432,buyforexonline.blogspot.com,0,150781347,1,0,1,0,"2020-05-30 02:26:10",3,6,0
433,buymyforex.blogspot.com,0,-,4,0,4,0,"2023-03-12 20:29:14",0,0,0
434,buysellforexindelhi.blogspot.com,0,131071299,9,0,9,0,"2021-03-31 08:11:41",1,11,0
435,canadaforexbrokerz.blogspot.com,0,-,5,0,5,0,"2022-01-06 19:06:46",0,0,0
436,carabermainforexafbcash.blogspot.com,0,-,27,0.01,27,0.01,"2021-01-16 09:59:10",0,0,0
437,carabisnisforexsyariah1.blogspot.com,0,-,2,0,2,0,"2023-03-13 12:30:48",0,0,0
438,carabisnisforexsyariahbogor.blogspot.com,0,-,3,0,3,0,"2022-01-02 16:43:54",0,0,0
439,carabisnisforexsyariahjakarta.blogspot.com,0,-,5,0,5,0,"2021-10-01 10:30:53",0,0,0
440,catatan-forex.blogspot.com,0,199765501,48,0.02,48,0.02,"2019-03-13 16:03:20",4,55,0
441,cavricforextruths.blogspot.com,0,207145262,5,0,5,0,"2022-07-14 23:44:34",1,5,0
442,centreforex1.blogspot.com,0,-,8,0,8,0,"2021-05-21 11:20:16",0,0,0
443,chiaseforexceo.blogspot.com,0,194331688,7,0,7,0,"2022-01-16 20:48:36",1,5,0
444,clmforexes.blogspot.com,0,154543065,16,0.01,16,0.01,"2021-06-25 09:33:55",1,7,0
445,comexforexstockpicks.blogspot.com,0,-,18,0.01,18,0.01,"2019-04-15 21:18:14",0,0,0
446,creditforexcard.blogspot.com,0,-,3,0,3,0,"2022-01-12 05:40:55",0,0,0
447,cuentas-demo-forex.blogspot.com,0,-,1,0,1,0,"2023-03-06 10:49:32",0,0,0
448,currency-forextradinginfo.blogspot.com,0,-,3,0,3,0,"2021-06-20 17:37:22",0,0,0
449,daily-forex-trader.blogspot.com,0,199692533,4,0,4,0,"2021-07-18 12:11:20",8,15,0
450,dailyforexmarket.blogspot.com,0,-,1,0,1,0,"2023-03-22 08:00:54",0,0,0
451,dailyforexnotes.blogspot.com,0,-,60,0.02,60,0.02,"2021-03-21 07:37:04",0,0,0
452,daliyforexsignals.blogspot.com,0,-,26,0.01,26,0.01,"2020-07-14 07:35:35",0,0,0
453,dautuforexfbs.blogspot.com,0,117626282,5,0,5,0,"2022-01-20 00:05:21",1,5,0
454,demoforex.blogspot.com,0,150206925,11,0,11,0,"2021-04-11 02:38:06",1,40,0
455,different-forex-trading-methods.blogspot.com,0,-,4,0,4,0,"2022-02-16 00:50:02",0,0,0
456,dineroforexya.blogspot.com,0,-,11,0,11,0,"2021-05-25 12:41:50",0,0,0
457,doubleinadayforex.blogspot.com,0,-,20,0.01,20,0.01,"2021-02-01 09:59:17",0,0,0
458,draniesforexsignals.blogspot.com,0,-,13,0,13,0.01,"2021-04-14 08:37:54",0,0,0
459,due-diligence-forex-act-1999.blogspot.com,0,-,25,0.01,25,0.01,"2020-04-07 11:50:59",0,0,0
460,ea-forex-low-drawdown.blogspot.com,0,-,6,0,6,0,"2021-06-23 06:12:31",0,0,0
461,earnatforex.blogspot.com,0,-,44,0.01,44,0.02,"2019-02-20 06:44:22",0,0,0
462,earnforexu.blogspot.com,0,-,1,0,1,0,"2023-03-08 09:41:05",0,0,0
463,easy-forex-expertadvisor.blogspot.com,0,154805980,17,0.01,17,0.01,"2019-03-26 22:25:39",1,9,0
464,easyforextester.blogspot.com,0,153098544,21,0.01,21,0.01,"2021-04-27 23:59:57",2,8,0
465,easyforextrainingforbeginners.blogspot.com,0,-,2,0,2,0,"2023-02-09 10:09:34",0,0,0
466,eforex1.blogspot.com,0,-,7,0,7,0,"2022-05-08 17:13:27",0,0,0
467,eforexindia.blogspot.com,0,-,3,0,3,0,"2021-07-08 21:41:09",0,0,0
468,en-easy-forex-trading.blogspot.com,0,-,12,0,12,0,"2023-02-05 11:28:44",0,0,0
469,en-forex-business.blogspot.com,0,-,5,0,5,0,"2022-07-30 09:28:53",0,0,0
470,es-forex.blogspot.com,0,125376622,7,0,5,0,"2020-05-05 00:02:06",24,39,0
471,etorotradeforex.blogspot.com,0,-,8,0,8,0,"2020-12-05 19:26:01",0,0,0
472,fazforex.blogspot.com,0,-,23,0.01,23,0.01,"2021-01-03 06:21:59",0,0,0
473,fbs-forexthai.blogspot.com,0,-,4,0,4,0,"2022-01-07 17:15:58",0,0,0
474,fforexaltin.blogspot.com,0,-,15,0,15,0.01,"2019-04-11 00:43:28",0,0,0
475,financialadviceforexpatshochiminh.blogspot.com,0,-,16,0.01,16,0.01,"2020-06-30 11:17:44",0,0,0
476,findexs-forexs.blogspot.com,0,-,10,0,10,0,"2021-10-27 15:46:21",0,0,0
477,forex-biztonsag.blogspot.com,0,-,17,0.01,17,0.01,"2021-04-23 02:53:32",0,0,0
478,forex-bl.blogspot.com,0,-,4,0,0,0,"2022-05-14 12:08:05",0,0,0
479,forex-dinero-negocio.blogspot.com,0,161897345,26,0.01,26,0.01,"2019-01-24 17:20:03",1,10,0
480,forex-earnusdollars.blogspot.com,0,-,14,0,14,0.01,"2021-07-16 04:32:17",0,0,0
481,forex-enews.blogspot.com,0,199952373,37,0.01,37,0.02,"2020-07-04 17:11:07",2,40,0
482,forex-everday.blogspot.com,0,122037289,22,0.01,22,0.01,"2019-03-02 05:44:21",1,6,0
483,forex-forum-academy.blogspot.com,0,161281333,20,0.01,20,0.01,"2020-11-13 23:17:16",1,10,0
484,forex-in-india.blogspot.com,0,-,71,0.02,71,0.03,"2019-03-08 20:08:16",0,0,0
485,forex-journal-news.blogspot.com,0,-,8,0,8,0,"2021-02-06 10:08:14",0,0,0
486,forex-marketsusa.blogspot.com,0,-,91,0.03,91,0.04,"2019-03-24 00:11:08",0,0,0
487,forex-merchant-accounts.blogspot.com,0,-,18,0.01,18,0.01,"2022-01-02 14:35:15",0,0,0
488,forex-mg.blogspot.com,0,128733045,34,0.01,34,0.01,"2019-02-21 03:00:56",2,26,0
489,forex-mmsic-partners.blogspot.com,0,-,23,0.01,23,0.01,"2019-04-19 18:43:39",0,0,0
490,forex-picks.blogspot.com,0,-,1494,0.47,1494,0.61,"2019-03-06 23:09:18",0,0,0
491,forex-poltava.blogspot.com,0,-,16,0.01,16,0.01,"2019-02-25 17:32:44",0,0,0
492,forex-rasid.blogspot.com,0,-,102,0.03,51,0.02,"2019-03-30 07:32:08",0,0,0
493,forex-signals-article.blogspot.com,0,-,4,0,4,0,"2022-01-11 13:32:24",0,0,0
494,forex-signals-daily24.blogspot.com,0,-,18,0.01,18,0.01,"2020-06-21 19:48:09",0,0,0
495,forex-signals-dubai.blogspot.com,0,125466896,223,0.07,223,0.09,"2019-03-14 06:06:08",2,12,0
496,forex-signals-for-you.blogspot.com,0,144859359,112,0.04,112,0.05,"2019-02-19 04:41:52",1,7,0
497,forex-signals-live-charts.blogspot.com,0,154812185,47,0.01,47,0.02,"2019-02-26 15:16:04",1,21,0
498,forex-signals-online.blogspot.com,0,-,48,0.02,48,0.02,"2019-04-16 00:49:31",0,0,0
499,forex-signals-providers1.blogspot.com,0,-,20,0.01,20,0.01,"2019-04-15 21:40:22",0,0,0
500,forex-signals-review1.blogspot.com,0,-,18,0.01,18,0.01,"2021-06-04 17:12:44",0,0,0
501,forex-signals-trade-copier.blogspot.com,0,-,36,0.01,36,0.01,"2019-04-21 12:14:27",0,0,0
